,WT_1,KO_1,WT_2,KO_2,WT_3,KO_3
ENSMUSG00000083422,0,0,0,0,0,0
ENSMUSG00000094979,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0
ENSMUSG00000100648,0,0,0,0,0,0
ENSMUSG00000088585,0,0,0,0,0,0
ENSMUSG00000048960,286,408,192,103,63,113
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,0,0
ENSMUSG00000057715,0,1,0,0,0,0
ENSMUSG00000103825,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,1,0,0,2,2,0
ENSMUSG00000093864,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,1,0,0
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000016918,1,1,1,1,0,1
ENSMUSG00000025938,0,0,0,0,0,0
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0
ENSMUSG00000042414,0,1,4,3,1,0
ENSMUSG00000005886,3363,3218,3111,3636,3113,2980
ENSMUSG00000103506,0,0,3,4,0,0
ENSMUSG00000103495,0,0,0,0,0,0
ENSMUSG00000099183,0,0,0,0,0,0
ENSMUSG00000102639,2,0,0,0,0,0
ENSMUSG00000104170,0,1,0,0,0,1
ENSMUSG00000087782,0,0,0,0,0,0
ENSMUSG00000103085,0,0,0,0,0,1
ENSMUSG00000102664,0,0,0,1,1,0
ENSMUSG00000101476,0,1,0,0,0,0
ENSMUSG00000101171,0,0,0,0,0,1
ENSMUSG00000025935,4336,4847,4376,4113,3811,3374
ENSMUSG00000025937,8124,8693,7588,9383,7817,9879
ENSMUSG00000102982,25,36,33,34,46,44
ENSMUSG00000067813,613,716,632,678,540,596
ENSMUSG00000077368,0,0,0,0,0,0
ENSMUSG00000097711,1,0,0,2,0,0
ENSMUSG00000102166,0,0,0,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0
ENSMUSG00000025932,0,0,0,0,0,0
ENSMUSG00000095853,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0
ENSMUSG00000054493,0,2,1,2,2,0
ENSMUSG00000025930,12,14,8,23,2,5
ENSMUSG00000103492,1,0,0,1,0,0
ENSMUSG00000081201,1,0,0,4,0,1
ENSMUSG00000082193,5,10,8,5,9,9
ENSMUSG00000032769,2,0,0,0,0,1
ENSMUSG00000088159,0,0,0,0,0,0
ENSMUSG00000073737,1,1,0,1,0,1
ENSMUSG00000092083,0,0,0,0,0,1
ENSMUSG00000102937,0,0,0,0,0,0
ENSMUSG00000104149,0,0,1,0,0,0
ENSMUSG00000088829,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,0,0,0
ENSMUSG00000100814,0,0,0,0,0,0
ENSMUSG00000025925,455,350,370,414,477,377
ENSMUSG00000104379,1,3,0,3,2,3
ENSMUSG00000032719,3,2,1,6,3,4
ENSMUSG00000088943,0,0,0,0,0,0
ENSMUSG00000100652,0,0,0,0,0,0
ENSMUSG00000067795,0,0,0,0,0,0
ENSMUSG00000043716,6348,5948,7178,6498,7978,6028
ENSMUSG00000025921,929,933,1017,907,894,1035
ENSMUSG00000104165,0,0,0,0,0,0
ENSMUSG00000100868,0,1,0,0,0,0
ENSMUSG00000025920,250,231,244,209,255,235
ENSMUSG00000089982,0,0,0,0,1,0
ENSMUSG00000025939,678,628,636,556,612,661
ENSMUSG00000102457,0,1,0,3,1,1
ENSMUSG00000079658,452,468,401,477,386,436
ENSMUSG00000097744,0,0,0,1,1,1
ENSMUSG00000100959,1,3,0,2,0,1
ENSMUSG00000025940,1094,933,1064,1053,1204,852
ENSMUSG00000025779,66,73,48,63,43,54
ENSMUSG00000100093,0,0,0,0,0,0
ENSMUSG00000091020,0,1,6,5,0,3
ENSMUSG00000101640,0,0,0,0,0,0
ENSMUSG00000104133,0,0,0,0,0,0
ENSMUSG00000042686,22,9,17,19,36,39
ENSMUSG00000100110,0,0,0,0,0,0
ENSMUSG00000025777,0,0,0,0,0,0
ENSMUSG00000099899,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0
ENSMUSG00000100398,0,0,0,0,0,0
ENSMUSG00000101589,0,1,2,3,4,3
ENSMUSG00000102048,0,0,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0
ENSMUSG00000067780,0,0,5,3,0,0
ENSMUSG00000100053,0,0,0,0,0,0
ENSMUSG00000085125,0,0,0,0,0,0
ENSMUSG00000025776,0,0,0,0,0,0
ENSMUSG00000099895,0,0,0,0,0,0
ENSMUSG00000100554,0,0,1,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0
ENSMUSG00000099591,0,0,0,0,0,0
ENSMUSG00000109887,0,0,0,0,0,0
ENSMUSG00000102001,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0
ENSMUSG00000025774,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0
ENSMUSG00000101685,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0
ENSMUSG00000100720,2,1,0,4,2,1
ENSMUSG00000025927,0,0,0,0,0,0
ENSMUSG00000100538,0,0,0,0,0,0
ENSMUSG00000101117,0,0,0,0,0,0
ENSMUSG00000100204,0,0,3,1,0,3
ENSMUSG00000084668,0,0,0,0,0,0
ENSMUSG00000102597,0,0,0,0,0,0
ENSMUSG00000043760,464,513,526,446,526,405
ENSMUSG00000104095,3,0,0,1,1,0
ENSMUSG00000089914,0,0,0,0,0,0
ENSMUSG00000090142,1,3,0,2,2,1
ENSMUSG00000070175,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0
ENSMUSG00000065480,0,0,0,0,0,0
ENSMUSG00000025929,0,0,0,0,0,0
ENSMUSG00000041872,0,0,0,0,0,0
ENSMUSG00000041859,504,513,862,784,391,304
ENSMUSG00000099714,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0
ENSMUSG00000097934,0,0,0,0,0,0
ENSMUSG00000025931,56,40,32,16,16,13
ENSMUSG00000077314,0,0,0,0,0,0
ENSMUSG00000100929,0,0,0,0,0,0
ENSMUSG00000041809,6,6,6,4,3,4
ENSMUSG00000041779,542,582,630,651,1353,1009
ENSMUSG00000099971,0,0,0,0,1,0
ENSMUSG00000100819,2,0,1,1,1,2
ENSMUSG00000025933,60,94,85,128,55,132
ENSMUSG00000102633,0,1,0,0,0,0
ENSMUSG00000025934,27417,31048,38372,44093,32841,38010
ENSMUSG00000099343,19,33,14,23,24,21
ENSMUSG00000096375,2,0,0,0,0,0
ENSMUSG00000025936,0,1,1,0,0,0
ENSMUSG00000093963,0,0,0,0,0,0
ENSMUSG00000067750,0,0,0,0,0,0
ENSMUSG00000086194,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0
ENSMUSG00000085507,0,0,0,0,0,0
ENSMUSG00000094926,0,0,0,0,0,0
ENSMUSG00000085079,0,0,0,0,0,0
ENSMUSG00000085679,0,0,0,0,0,0
ENSMUSG00000028033,6,8,3,12,1,0
ENSMUSG00000104138,0,0,0,0,0,0
ENSMUSG00000082935,8,3,7,10,10,5
ENSMUSG00000103748,0,0,0,0,0,0
ENSMUSG00000097109,0,0,0,0,0,0
ENSMUSG00000099692,0,0,0,0,0,0
ENSMUSG00000100418,0,0,0,0,0,0
ENSMUSG00000041670,3,0,1,0,3,0
ENSMUSG00000097642,0,0,0,0,0,0
ENSMUSG00000101468,0,0,0,0,0,0
ENSMUSG00000101227,0,0,0,0,0,0
ENSMUSG00000073730,0,0,0,0,0,0
ENSMUSG00000089553,0,0,0,0,0,0
ENSMUSG00000102766,0,0,0,0,0,0
ENSMUSG00000065405,0,0,0,0,0,0
ENSMUSG00000097970,12,18,7,18,17,10
ENSMUSG00000065567,0,0,0,0,0,0
ENSMUSG00000100775,0,0,0,0,0,0
ENSMUSG00000101226,0,0,0,0,0,0
ENSMUSG00000026158,580,454,560,421,568,442
ENSMUSG00000097920,0,0,0,0,0,0
ENSMUSG00000099503,0,0,0,0,0,0
ENSMUSG00000026156,15,26,15,10,33,21
ENSMUSG00000026155,580,540,520,489,544,530
ENSMUSG00000026154,127,134,173,124,119,119
ENSMUSG00000102495,0,0,0,0,0,1
ENSMUSG00000026153,1521,1347,1258,1365,1627,1181
ENSMUSG00000102398,1,1,0,1,0,1
ENSMUSG00000097670,0,0,0,0,0,0
ENSMUSG00000026147,0,0,1,0,0,1
ENSMUSG00000026141,0,0,0,0,0,0
ENSMUSG00000077463,0,0,0,0,0,0
ENSMUSG00000099997,0,2,7,0,6,6
ENSMUSG00000100131,1540,1277,1745,2408,1177,3055
ENSMUSG00000067736,581,483,682,1029,466,1263
ENSMUSG00000101939,61,65,82,95,57,126
ENSMUSG00000101111,1404,1187,1709,2785,1159,3049
ENSMUSG00000100862,3440,2561,3769,5826,2581,7141
ENSMUSG00000102070,1408,1101,1758,3503,1111,4023
