,KO_B477,WT_B483,WT_B559,KO_B560,KO_B561,WT_B562
ENSMUSG00000083422,0,0,0,0,0,0
ENSMUSG00000094979,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0
ENSMUSG00000100212,0,0,0,0,0,0
ENSMUSG00000100648,0,0,0,0,0,0
ENSMUSG00000088585,0,0,0,0,0,0
ENSMUSG00000048960.,408,145,109,25,34,54
ENSMUSG00000077318,0,0,0,0,0,0
ENSMUSG00000101827,0,0,0,0,0,0
ENSMUSG00000103494,0,0,0,0,0,0
ENSMUSG00000057715.,1,0,0,0,0,0
ENSMUSG00000103825,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0
ENSMUSG00000101610,0,1,0,0,2,2
ENSMUSG00000093864,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0
ENSMUSG00000097628,0,0,0,0,0,0
ENSMUSG00000098163,0,0,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,0
ENSMUSG00000101314,0,0,0,0,0,0
ENSMUSG00000016918.,1,0,0,0,0,0
ENSMUSG00000025938.,0,0,0,0,0,0
ENSMUSG00000104518,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0
ENSMUSG00000042414,1,0,3,0,1,0
ENSMUSG00000005886.,3218,1756,1662,478,1137,2160
ENSMUSG00000103506,0,0,0,0,1,0
ENSMUSG00000103495,0,0,0,0,0,0
ENSMUSG00000099183,0,0,0,0,0,0
ENSMUSG00000102639,0,2,0,0,0,0
ENSMUSG00000104170,1,0,0,0,0,0
ENSMUSG00000087782,0,0,0,0,0,0
ENSMUSG00000103085,0,0,0,0,0,0
ENSMUSG00000102664,0,0,0,0,0,0
ENSMUSG00000101476,1,0,0,0,0,0
ENSMUSG00000101171,0,0,0,0,0,0
ENSMUSG00000025935.,4847,2196,2353,591,1298,2618
ENSMUSG00000025937,8693,4115,4079,1649,2973,5316
ENSMUSG00000102982,36,13,23,6,8,32
ENSMUSG00000067813,716,292,336,100,207,359
ENSMUSG00000077368,0,0,0,0,0,0
ENSMUSG00000097711,0,1,0,0,0,0
ENSMUSG00000102166,0,0,0,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0
ENSMUSG00000025932.,0,0,0,0,0,0
ENSMUSG00000095853,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0
ENSMUSG00000054493,2,0,1,0,0,1
ENSMUSG00000025930,14,4,4,0,6,2
ENSMUSG00000103492,0,1,0,0,0,0
ENSMUSG00000081201,0,0,0,0,3,0
ENSMUSG00000082193,10,2,5,0,0,7
ENSMUSG00000032769,0,1,0,0,0,0
ENSMUSG00000088159,0,0,0,0,0,0
ENSMUSG00000073737,1,0,0,0,0,0
ENSMUSG00000092083,0,0,0,1,0,0
ENSMUSG00000102937,0,0,0,0,0,0
ENSMUSG00000104149,0,0,0,0,0,0
ENSMUSG00000088829,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,0,0,0
ENSMUSG00000100814,0,0,0,0,0,0
ENSMUSG00000025925.,350,244,188,54,119,313
ENSMUSG00000104379,3,0,0,1,1,2
ENSMUSG00000032719,2,1,1,0,1,2
ENSMUSG00000088943,0,0,0,0,0,0
ENSMUSG00000100652,0,0,0,0,0,0
ENSMUSG00000067795.,0,0,0,0,0,0
ENSMUSG00000043716.,5948,3256,3819,1018,2068,5513
ENSMUSG00000025921,933,503,573,174,332,629
ENSMUSG00000104165,0,0,0,0,0,0
ENSMUSG00000100868,1,0,0,0,0,0
ENSMUSG00000025920.,231,137,141,31,71,178
ENSMUSG00000089982,0,0,0,0,0,0
ENSMUSG00000025939.,628,322,365,103,160,406
ENSMUSG00000102457,1,0,0,0,0,0
ENSMUSG00000079658,468,221,198,68,145,257
ENSMUSG00000097744,0,0,0,0,0,1
ENSMUSG00000100959,3,1,0,0,0,0
ENSMUSG00000025940,933,565,592,157,348,833
ENSMUSG00000025779.,73,31,25,7,21,27
ENSMUSG00000100093,0,0,0,0,0,0
ENSMUSG00000091020,1,0,1,0,1,0
ENSMUSG00000101640,0,0,0,0,0,0
ENSMUSG00000104133,0,0,0,0,0,0
ENSMUSG00000042686,9,12,7,4,11,25
ENSMUSG00000100110,0,0,0,0,0,0
ENSMUSG00000025777,0,0,0,0,0,0
ENSMUSG00000099899,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0
ENSMUSG00000100398,0,0,0,0,0,0
ENSMUSG00000101589,1,0,2,0,0,0
ENSMUSG00000102048,0,0,0,0,0,0
ENSMUSG00000089534,0,0,0,0,0,0
ENSMUSG00000067780,0,0,4,0,1,0
ENSMUSG00000100053,0,0,0,0,0,0
ENSMUSG00000085125,0,0,0,0,0,0
ENSMUSG00000025776.,0,0,0,0,0,0
ENSMUSG00000099895,0,0,0,0,0,0
ENSMUSG00000100554,0,0,0,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0
ENSMUSG00000099591,0,0,0,0,0,0
ENSMUSG00000109887,0,0,0,0,0,0
ENSMUSG00000102001,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0
ENSMUSG00000025774.,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0
ENSMUSG00000101685,0,0,0,0,0,0
ENSMUSG00000101306,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0
ENSMUSG00000100720,1,1,0,0,0,0
ENSMUSG00000025927.,0,0,0,0,0,0
ENSMUSG00000100538,0,0,0,0,0,0
ENSMUSG00000101117,0,0,0,0,0,0
ENSMUSG00000100204,0,0,0,0,0,0
ENSMUSG00000084668,0,0,0,0,0,0
ENSMUSG00000102597,0,0,0,0,0,0
ENSMUSG00000043760.,513,238,269,63,130,362
ENSMUSG00000104095,0,3,0,0,0,1
ENSMUSG00000089914,0,0,0,0,0,0
ENSMUSG00000090142,3,1,0,1,0,1
ENSMUSG00000070175,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0
ENSMUSG00000065480,0,0,0,0,0,0
ENSMUSG00000025929,0,0,0,0,0,0
ENSMUSG00000041872,0,0,0,0,0,0
ENSMUSG00000041859.,513,264,450,39,265,279
ENSMUSG00000099714,0,0,0,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0
ENSMUSG00000097934,0,0,0,0,0,0
ENSMUSG00000025931.,40,26,21,1,2,12
ENSMUSG00000077314,0,0,0,0,0,0
ENSMUSG00000100929,0,0,0,0,0,0
ENSMUSG00000041809,6,3,3,0,1,2
ENSMUSG00000041779,582,280,355,167,224,966
ENSMUSG00000099971,0,0,0,0,0,1
ENSMUSG00000100819,0,1,0,0,0,0
ENSMUSG00000025933.,94,30,50,19,38,36
ENSMUSG00000102633,1,0,0,0,0,0
ENSMUSG00000025934.,31048,14017,20535,6266,14197,22789
ENSMUSG00000099343,33,6,5,3,7,16
ENSMUSG00000096375,0,0,0,0,0,0
ENSMUSG00000025936.,1,0,1,0,0,0
ENSMUSG00000093963,0,0,0,0,0,0
ENSMUSG00000067750,0,0,0,0,0,0
ENSMUSG00000086194,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0
ENSMUSG00000085507,0,0,0,0,0,0
ENSMUSG00000094926,0,0,0,0,0,0
ENSMUSG00000085079,0,0,0,0,0,0
ENSMUSG00000085679,0,0,0,0,0,0
ENSMUSG00000028033.,8,1,2,0,5,1
ENSMUSG00000104138,0,0,0,0,0,0
ENSMUSG00000082935,3,7,2,2,2,8
ENSMUSG00000103748,0,0,0,0,0,0
ENSMUSG00000097109,0,0,0,0,0,0
ENSMUSG00000099692,0,0,0,0,0,0
ENSMUSG00000100418,0,0,0,0,0,0
ENSMUSG00000041670.,0,2,1,0,0,2
ENSMUSG00000097642,0,0,0,0,0,0
ENSMUSG00000101468,0,0,0,0,0,0
ENSMUSG00000101227,0,0,0,0,0,0
ENSMUSG00000073730,0,0,0,0,0,0
ENSMUSG00000089553,0,0,0,0,0,0
ENSMUSG00000102766,0,0,0,0,0,0
ENSMUSG00000065405,0,0,0,0,0,0
ENSMUSG00000097970,18,5,3,1,6,13
ENSMUSG00000065567,0,0,0,0,0,0
ENSMUSG00000100775,0,0,0,0,0,0
ENSMUSG00000101226,0,0,0,0,0,0
ENSMUSG00000026158.,454,299,304,68,150,384
ENSMUSG00000097920,0,0,0,0,0,0
ENSMUSG00000099503,0,0,0,0,0,0
ENSMUSG00000026156,26,5,9,4,4,24
ENSMUSG00000026155.,540,287,281,94,162,368
ENSMUSG00000026154,134,63,100,20,37,74
ENSMUSG00000102495,0,0,0,0,0,0
ENSMUSG00000026153.,1347,803,677,199,442,1144
ENSMUSG00000102398,1,1,0,0,0,0
ENSMUSG00000097670,0,0,0,0,0,0
ENSMUSG00000026147.,0,0,0,0,0,0
ENSMUSG00000026141.,0,0,0,0,0,0
ENSMUSG00000077463,0,0,0,0,0,0
ENSMUSG00000099997,2,0,2,0,0,4
ENSMUSG00000100131,1277,609,737,166,278,700
ENSMUSG00000067736,483,237,273,60,107,266
ENSMUSG00000101939,65,33,31,5,13,34
ENSMUSG00000101111,1187,574,754,162,307,703
ENSMUSG00000100862,2561,1458,1579,372,584,1531
ENSMUSG00000102070,1101,644,770,192,306,714
